Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe361        	34953800         	11653400         	183,8            	126752,1647      
Graphe362        	35274200         	11176400         	180,8            	133288,7477      
Graphe363        	28151600         	10524700         	183,9            	95866,8867       
Graphe364        	44257000         	10180600         	182,9            	186273,8018      
Graphe365        	37988900         	10306100         	177,7            	155771,7238      
Graphe366        	41700900         	10615700         	182,9            	169935,1358      
Graphe367        	41402900         	11135100         	173,3            	174695,6689      
Graphe368        	41345600         	10992600         	184,9            	164199,8070      
Graphe369        	44380300         	10774700         	183,4            	183224,2542      
Graphe370        	39540000         	10823000         	181,8            	157988,7306      
Graphe371        	42650200         	11360600         	186,3            	167986,3665      
Graphe372        	45676700         	10842300         	184,5            	188809,8086      
Graphe373        	49096500         	11733100         	189,0            	197673,2128      
Graphe374        	36204400         	13519400         	187,7            	120854,6694      
Graphe375        	47294200         	11174300         	183,3            	197076,5645      
Graphe376        	41967000         	11003000         	181,7            	170411,7758      
Graphe377        	50265200         	11430700         	191,8            	202491,2019      
Graphe378        	41607400         	11254300         	181,5            	167246,8354      
Graphe379        	42246900         	11361100         	188,1            	164187,6045      
Graphe380        	48973200         	11274400         	187,0            	201578,1078      
Graphe381        	53789000         	11403500         	180,3            	235028,3983      
Graphe382        	52380300         	11634600         	192,9            	211228,7716      
Graphe383        	37096100         	11435300         	185,4            	138442,6788      
Graphe384        	58067300         	12234700         	212,5            	215640,7601      
Graphe385        	54767100         	13265900         	191,8            	216326,7658      
Graphe386        	53403000         	12261300         	195,9            	209986,7086      
Graphe387        	41564300         	12305900         	200,4            	145997,3780      
Graphe388        	46583700         	13697100         	197,1            	166856,7005      
Graphe389        	45465100         	11785900         	185,4            	181622,8839      
Graphe390        	42106700         	12369100         	201,0            	147946,3810      
Graphe391        	39259400         	12142600         	191,2            	141797,0940      
Graphe392        	47244200         	12383400         	195,7            	178138,0369      
Graphe393        	49806900         	13150900         	198,1            	185065,0579      
Graphe394        	47046000         	12287900         	195,9            	177433,2586      
Graphe395        	48305600         	12509800         	194,9            	183667,8505      
Graphe396        	50420800         	13185900         	200,3            	185887,2621      
Graphe397        	50522400         	13132100         	204,5            	182814,1276      
Graphe398        	62194800         	12826500         	200,3            	246413,3568      
Graphe399        	64189400         	14595300         	204,2            	242853,0236      
Graphe400        	57681800         	17746000         	205,7            	194135,0440      
Graphe401        	59736900         	13025400         	203,6            	229483,1771      
Graphe402        	49881900         	13110000         	203,5            	180677,5185      
Graphe403        	50848900         	13147100         	197,2            	191187,9922      
Graphe404        	55122600         	13590200         	206,3            	201353,5823      
